iter	RMSE
0	78752.07139
1	78266.16824
2	77749.47535
3	77308.13927
4	76787.29424
5	76335.67927
6	75870.80185
7	75403.10076
8	74931.07399
9	74470.91291
10	74011.01202
11	73573.28925
12	73115.47584
13	72725.56151
14	72283.9524
15	71840.91975
16	71406.75557
17	71008.25004
18	70612.60328
19	70207.5728
20	69768.93508
21	69367.21203
22	69003.67792
23	68603.50823
24	68207.56885
25	67862.50762
26	67469.73247
27	67114.04128
28	66743.77209
29	66360.92625
30	65972.64844
31	65613.17081
32	65234.36541
33	64897.56102
34	64593.51629
35	64225.77977
36	63874.58274
37	63523.49526
38	63154.14635
39	62844.82278
40	62466.84892
41	62140.6722
42	61809.62882
43	61496.99931
44	61167.86336
45	60850.90206
46	60529.07664
47	60193.53305
48	59855.53901
49	59560.83971
50	59254.53971
51	58972.99415
52	58672.98403
53	58365.54347
54	58073.57907
55	57764.51698
56	57498.53996
57	57208.27506
58	56885.95262
59	56610.44242
60	56341.33371
61	56098.55014
62	55790.23676
63	55509.50631
64	55225.19392
65	54950.08383
66	54668.70835
67	54413.88399
68	54171.39974
69	53904.18014
70	53649.67445
71	53393.54438
72	53126.24243
73	52895.29921
74	52655.55632
75	52401.98302
76	52152.86692
77	51890.2392
78	51662.70196
79	51410.35856
80	51184.88728
81	50945.50625
82	50697.47777
83	50492.44509
84	50268.14984
85	50024.74213
86	49789.83445
87	49553.05274
88	49345.72964
89	49138.84651
90	48938.20415
91	48725.47543
92	48500.55141
93	48310.13518
94	48083.73585
95	47857.05745
96	47672.6272
97	47457.90597
98	47262.23837
99	47080.5331
100	46892.72219
101	46702.9097
102	46526.94445
103	46297.13954
104	46102.78942
105	45916.86066
106	45731.44997
107	45558.61125
108	45365.11728
109	45194.35484
110	45005.89033
111	44832.75679
112	44633.61777
113	44450.95951
114	44273.63062
115	44092.1726
116	43911.90812
117	43737.74958
118	43559.61285
119	43398.17116
120	43204.40147
121	43014.58343
122	42843.65767
123	42677.665
124	42515.85634
125	42353.35228
126	42190.16625
127	42025.63326
128	41877.0494
129	41723.63135
130	41578.54663
131	41415.12258
132	41262.87925
133	41104.92062
134	40946.4072
135	40790.63947
136	40666.45738
137	40520.51477
138	40390.98415
139	40255.09226
140	40114.58035
141	39977.15179
142	39856.20695
143	39729.77756
144	39609.19572
145	39480.62659
146	39347.26554
147	39227.2618
148	39090.59355
149	38946.46584
150	38813.11351
151	38692.28128
152	38555.16457
153	38423.74776
154	38292.47635
155	38187.57059
156	38059.05048
157	37947.23327
158	37833.65128
159	37709.23026
160	37585.77688
161	37457.32728
162	37349.9676
163	37245.27151
164	37126.00755
165	37008.74473
166	36891.57737
167	36774.60929
168	36673.71283
169	36553.23318
170	36451.76754
171	36349.18538
172	36243.18103
173	36140.2363
174	36023.35687
175	35922.54607
176	35822.10268
177	35720.37933
178	35615.34372
179	35525.58226
180	35423.91996
181	35341.43033
182	35243.74889
183	35154.4513
184	35057.09799
185	34960.64784
186	34849.19645
187	34755.16902
188	34662.66634
189	34572.08935
190	34470.94512
191	34364.13474
192	34290.89732
193	34188.46348
194	34098.10087
195	34017.36798
196	33941.6022
197	33853.49688
198	33785.4996
199	33691.40976
200	33610.1935
201	33516.91278
202	33414.62569
203	33333.39905
204	33239.4625
205	33149.72376
206	33076.68543
207	32992.69604
208	32911.25374
209	32830.58571
210	32763.41585
211	32684.29359
212	32601.3033
213	32527.4577
214	32443.15428
215	32367.4881
216	32279.34007
217	32195.12349
218	32102.02668
219	32022.53852
220	31947.68178
221	31868.14791
222	31804.85231
223	31733.16474
224	31668.25973
225	31577.17508
226	31492.88953
227	31426.0589
228	31356.27323
229	31289.01269
230	31225.27418
231	31158.3994
232	31089.6463
233	31039.17551
234	30975.07977
235	30920.78357
236	30843.10994
237	30784.83571
238	30706.0237
239	30641.18468
240	30574.35955
241	30512.2502
242	30442.67164
243	30375.54036
244	30320.27516
245	30250.2246
246	30192.60622
247	30129.73913
248	30049.94812
249	29970.05217
250	29912.74681
251	29855.00698
252	29794.85531
253	29729.70458
254	29667.81513
255	29600.65931
256	29545.68521
257	29479.92401
258	29434.44021
259	29366.29301
260	29310.03373
261	29266.96421
262	29213.79134
263	29150.08476
264	29094.76871
265	29038.51418
266	28966.15408
267	28918.06864
268	28873.82521
269	28807.34259
270	28750.06975
271	28707.80701
272	28640.13664
273	28586.48291
274	28537.67801
275	28493.66177
276	28447.74989
277	28378.76311
278	28332.66298
279	28286.75442
280	28246.10328
281	28205.20407
282	28162.49528
283	28122.91081
284	28076.13812
285	28040.65237
286	27987.00747
287	27944.36853
288	27893.49966
289	27848.5479
290	27808.01358
291	27771.84744
292	27709.6144
293	27659.63312
294	27616.88135
295	27574.29607
296	27533.96233
297	27487.14213
298	27441.67534
299	27384.74675
300	27348.79269
301	27303.14882
302	27249.37492
303	27204.09151
304	27162.86461
305	27123.91648
306	27088.90047
307	27052.70279
308	27015.28948
309	26969.36679
310	26936.64179
311	26904.68223
312	26864.05122
313	26829.92389
314	26794.89173
315	26740.96344
316	26694.05869
317	26657.8144
318	26599.99445
319	26558.74613
320	26509.18567
321	26471.78776
322	26446.1543
323	26397.94191
324	26371.3416
325	26339.31158
326	26297.55057
327	26256.34057
328	26219.33762
329	26177.78065
330	26139.66497
331	26105.71608
332	26070.28949
333	26027.44586
334	25981.05982
335	25931.52439
336	25892.03926
337	25861.63085
338	25813.2984
339	25781.78615
340	25739.41541
341	25698.79322
342	25664.90108
343	25633.89256
344	25585.30983
345	25544.56223
346	25518.33527
347	25489.26145
348	25461.43285
349	25425.53478
350	25396.35492
351	25366.45308
352	25335.97284
353	25299.49684
354	25272.51529
355	25220.05441
356	25192.32414
357	25149.65006
358	25117.57044
359	25084.32833
360	25052.24279
361	25015.46608
362	24982.50623
363	24951.93503
364	24927.22162
365	24892.07325
366	24853.26829
367	24823.24181
368	24784.6309
369	24757.88447
370	24730.46503
371	24699.15669
372	24662.98171
373	24629.63621
374	24592.73388
375	24557.93791
376	24521.94546
377	24483.20281
378	24447.66459
379	24421.8148
380	24401.11214
381	24372.05963
382	24341.98869
383	24322.80181
384	24297.85986
385	24265.94541
386	24229.79051
387	24203.03492
388	24171.94382
389	24132.0573
390	24098.48828
391	24070.74173
392	24039.9463
393	24006.78357
394	23986.54462
395	23954.7139
396	23935.89126
397	23914.90602
398	23885.51351
399	23854.00952
400	23815.54531
401	23780.02447
402	23760.08643
403	23725.99264
404	23697.44458
405	23671.49947
406	23646.16192
407	23617.899
408	23589.27339
409	23552.12451
410	23521.97084
411	23484.78847
412	23453.46154
413	23419.60779
414	23404.43587
415	23379.67263
416	23348.2771
417	23318.77893
418	23293.79369
419	23264.19205
420	23235.37372
421	23215.10181
422	23198.84586
423	23169.2228
424	23144.02273
425	23124.68406
426	23105.61965
427	23074.64241
428	23046.57551
429	23022.83227
430	23000.8841
431	22977.17928
432	22955.57236
433	22930.99224
434	22909.58206
435	22883.11817
436	22869.85142
437	22845.77602
438	22825.72119
439	22810.97557
440	22787.93598
441	22762.10436
442	22734.87878
443	22710.49144
444	22688.26075
445	22666.62421
446	22641.66064
447	22616.92187
448	22596.13906
449	22572.88556
450	22545.58265
451	22526.51429
452	22511.32957
453	22490.99038
454	22463.77576
455	22443.72363
456	22416.70748
457	22388.36269
458	22363.69083
459	22332.21116
460	22314.50246
461	22290.21263
462	22263.57179
463	22248.12831
464	22221.93411
465	22203.02486
466	22177.82098
467	22150.98019
468	22125.66976
469	22106.47984
470	22085.33539
471	22067.78378
472	22052.42057
473	22029.11707
474	22008.26994
475	21990.38542
476	21975.13225
477	21959.89497
478	21941.88085
479	21925.81652
480	21901.24025
481	21883.26509
482	21865.93619
483	21848.69599
484	21831.85481
485	21808.70597
486	21791.8603
487	21768.08305
488	21741.45207
489	21718.57644
490	21706.44148
491	21688.4359
492	21673.24712
493	21657.53309
494	21647.68659
495	21629.47602
496	21608.88654
497	21583.10772
498	21567.55456
499	21547.32269
500	21529.78311
501	21508.0981
502	21493.27902
503	21476.14834
504	21456.23414
505	21438.55054
506	21414.10963
507	21396.56284
508	21380.5721
509	21362.81615
510	21349.22936
511	21330.07518
512	21312.07736
513	21293.18872
514	21282.19691
515	21266.56945
516	21250.41697
517	21226.72673
518	21211.76749
519	21191.47983
520	21174.71915
521	21150.68027
522	21129.01767
523	21115.49605
524	21104.3759
525	21092.50693
526	21078.44204
527	21064.64816
528	21052.13413
529	21031.95901
530	21014.47728
531	20993.60779
532	20978.02584
533	20957.12517
534	20935.92118
535	20921.29592
536	20901.77042
537	20879.99101
538	20862.05992
539	20846.33124
540	20833.79058
541	20817.46146
542	20800.90777
543	20789.8618
544	20773.54255
545	20759.81149
546	20742.99263
547	20728.41738
548	20714.54285
549	20702.33483
550	20682.9422
551	20662.4092
552	20649.26809
